employee_id,active_employee,department,job_role,gender,office_site,age_band,atsi_identification,employee_status,career_metric,career_years,career_year_band
E102421,0,Customer Services,Customer Service Officer,Female,Adelaide Branch,55-65,Yes,Terminated,Years at Company,5,4-5
E102610,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,8,6-10
E103332,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,22-24,No,Active,Years at Company,1,0-1
E103554,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,25-34,Yes,Active,Years at Company,4,4-5
E103611,0,Customer Services,Customer Service Officer,Female,Adelaide Branch,25-34,No,Terminated,Years at Company,2,2-3
E100129,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E100334,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,13,10+
E100453,1,Customer Services,Team Leader,Male,Adelaide Branch,25-34,No,Active,Years at Company,7,6-10
E100483,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E100582,1,Customer Services,Team Leader,Male,Adelaide Branch,45-54,No,Active,Years at Company,4,4-5
E100621,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,1,0-1
E100623,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,Yes,Active,Years at Company,6,6-10
E100759,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,13,10+
E100860,1,Customer Services,Team Leader,Male,Adelaide Branch,55-65,Yes,Active,Years at Company,11,10+
E100861,1,Customer Services,Team Leader,Female,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E101108,1,Customer Services,Team Leader,Male,Adelaide Branch,45-54,No,Active,Years at Company,14,10+
E101431,0,Customer Services,Team Leader,Female,Adelaide Branch,45-54,No,Terminated,Years at Company,6,6-10
E101526,1,Customer Services,Team Leader,Male,Adelaide Branch,55-65,No,Active,Years at Company,4,4-5
E101891,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,7,6-10
E101960,1,Customer Services,Team Leader,Female,Adelaide Branch,25-34,Yes,Active,Years at Company,5,4-5
E102013,1,Customer Services,Team Leader,Female,Adelaide Branch,55-65,No,Active,Years at Company,4,4-5
E102104,0,Customer Services,Team Leader,Female,Adelaide Branch,55-65,No,Terminated,Years at Company,14,10+
E102122,1,Customer Services,Team Leader,Female,Adelaide Branch,22-24,No,Active,Years at Company,1,0-1
E102264,1,Customer Services,Team Leader,Female,Adelaide Branch,55-65,No,Active,Years at Company,9,6-10
E102324,1,Customer Services,Team Leader,Female,Adelaide Branch,45-54,No,Active,Years at Company,4,4-5
E102425,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,Yes,Active,Years at Company,12,10+
E102454,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E102672,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,11,10+
E102743,1,Customer Services,Team Leader,Male,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E103295,1,Customer Services,Team Leader,Male,Adelaide Branch,22-24,No,Active,Years at Company,2,2-3
E103375,1,Customer Services,Team Leader,Male,Adelaide Branch,55-65,No,Active,Years at Company,3,2-3
E103605,1,Customer Services,Team Leader,Female,Adelaide Branch,35-44,No,Active,Years at Company,0,0-1
E103639,0,Customer Services,Team Leader,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,11,10+
E100285,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,25-34,No,Active,Years at Company,6,6-10
E100451,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,25-34,No,Active,Years at Company,1,0-1
E100598,0,Customer Services,Customer Success Manager,Male,Adelaide Branch,25-34,No,Terminated,Years at Company,4,4-5
E100751,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,55-65,Yes,Active,Years at Company,5,4-5
E100867,1,Customer Services,Customer Success Manager,Female,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E101010,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,22-24,Yes,Active,Years at Company,2,2-3
E101253,1,Customer Services,Customer Success Manager,Female,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E101259,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,7,6-10
E101325,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,12,10+
E101394,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,4,4-5
E101452,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,14,10+
E101573,0,Customer Services,Customer Success Manager,Female,Adelaide Branch,25-34,No,Terminated,Years at Company,3,2-3
E101910,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,3,2-3
E102135,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E102272,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,25-34,Yes,Active,Years at Company,2,2-3
E102531,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E102608,0,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Terminated,Years at Company,10,6-10
E103133,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,25-34,No,Active,Years at Company,3,2-3
E103288,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,8,6-10
E103394,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,0,0-1
E103568,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,8,6-10
E103691,1,Customer Services,Customer Success Manager,Female,Adelaide Branch,35-44,Yes,Active,Years at Company,18,10+
E103755,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,9,6-10
E103766,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,7,6-10
E103792,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,8,6-10
E103796,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E103836,1,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,1,0-1
E103842,0,Customer Services,Customer Success Manager,Male,Adelaide Branch,35-44,No,Terminated,Years at Company,0,0-1
E100134,1,Operations,Operations Coordinator,Female,Adelaide Branch,45-54,Yes,Active,Years at Company,2,2-3
E100140,1,Operations,Logistics Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E100181,1,Operations,Logistics Officer,Male,Adelaide Branch,22-24,No,Active,Years at Company,1,0-1
E100219,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E100258,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,18,10+
E100414,1,Operations,Operations Coordinator,Male,Adelaide Branch,25-34,No,Active,Years at Company,5,4-5
E100540,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,12,10+
E100727,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,13,10+
E100844,0,Operations,Logistics Officer,Male,Adelaide Branch,55-65,No,Terminated,Years at Company,10,6-10
E100883,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E100898,0,Operations,Logistics Officer,Female,Adelaide Branch,25-34,Yes,Terminated,Years at Company,2,2-3
E100904,0,Operations,Logistics Officer,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,4,4-5
E101055,1,Operations,Logistics Officer,Male,Adelaide Branch,22-24,No,Active,Years at Company,2,2-3
E101154,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E101216,1,Operations,Operations Coordinator,Male,Adelaide Branch,55-65,No,Active,Years at Company,3,2-3
E101341,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,12,10+
E101397,1,Operations,Operations Coordinator,Male,Adelaide Branch,55-65,Yes,Active,Years at Company,2,2-3
E101450,0,Operations,Logistics Officer,Female,Adelaide Branch,45-54,No,Terminated,Years at Company,28,10+
E101493,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,7,6-10
E101514,0,Operations,Logistics Officer,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,7,6-10
E101576,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,7,6-10
E101606,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E101690,1,Operations,Logistics Officer,Female,Adelaide Branch,45-54,Yes,Active,Years at Company,8,6-10
E101693,0,Operations,Logistics Officer,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,16,10+
E101715,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,1,0-1
E101827,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,0,0-1
E101854,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,12,10+
E101930,1,Operations,Logistics Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,8,6-10
E102075,1,Operations,Operations Coordinator,Male,Adelaide Branch,25-34,No,Active,Years at Company,2,2-3
E102116,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,11,10+
E102435,1,Operations,Logistics Officer,Female,Adelaide Branch,35-44,No,Active,Years at Company,8,6-10
E102467,0,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,11,10+
E102481,0,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,7,6-10
E102510,1,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E102535,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,Yes,Active,Years at Company,13,10+
E102542,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,1,0-1
E102596,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E102624,1,Operations,Operations Coordinator,Female,Adelaide Branch,55-65,Yes,Active,Years at Company,4,4-5
E102643,1,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Active,Years at Company,4,4-5
E102719,0,Operations,Logistics Officer,Female,Adelaide Branch,55-65,Yes,Terminated,Years at Company,2,2-3
E102733,1,Operations,Operations Coordinator,Male,Adelaide Branch,25-34,No,Active,Years at Company,6,6-10
E102835,1,Operations,Logistics Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,16,10+
E102886,1,Operations,Logistics Officer,Male,Adelaide Branch,22-24,No,Active,Years at Company,2,2-3
E103003,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,13,10+
E103054,1,Operations,Logistics Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,2,2-3
E103076,1,Operations,Operations Coordinator,Female,Adelaide Branch,45-54,No,Active,Years at Company,4,4-5
E103091,1,Operations,Logistics Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,15,10+
E103129,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,6,6-10
E103179,1,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Active,Years at Company,5,4-5
E103208,1,Operations,Operations Coordinator,Male,Adelaide Branch,25-34,No,Active,Years at Company,7,6-10
E103339,1,Operations,Operations Coordinator,Female,Adelaide Branch,25-34,No,Active,Years at Company,7,6-10
E103387,1,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,8,6-10
E103438,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,10,6-10
E103522,0,Operations,Operations Coordinator,Female,Adelaide Branch,55-65,No,Terminated,Years at Company,4,4-5
E103527,1,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Active,Years at Company,1,0-1
E103552,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,1,0-1
E103746,0,Operations,Operations Coordinator,Female,Adelaide Branch,55-65,No,Terminated,Years at Company,6,6-10
E103756,1,Operations,Operations Coordinator,Female,Adelaide Branch,55-65,No,Active,Years at Company,1,0-1
E103833,1,Operations,Operations Coordinator,Male,Adelaide Branch,45-54,No,Active,Years at Company,7,6-10
E103835,0,Operations,Logistics Officer,Male,Adelaide Branch,25-34,No,Terminated,Years at Company,2,2-3
E103843,1,Operations,Operations Coordinator,Male,Adelaide Branch,35-44,No,Active,Years at Company,8,6-10
E100107,0,Operations,Site Supervisor,Female,Adelaide Branch,25-34,Yes,Terminated,Years at Company,8,6-10
E100164,1,Operations,Site Supervisor,Male,Adelaide Branch,45-54,Yes,Active,Years at Company,7,6-10
E100364,1,Operations,Site Supervisor,Male,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E100454,0,Operations,Site Supervisor,Female,Adelaide Branch,55-65,Yes,Terminated,Years at Company,3,2-3
E100456,1,Operations,Site Supervisor,Male,Adelaide Branch,45-54,No,Active,Years at Company,17,10+
E100720,1,Operations,Site Supervisor,Female,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E101004,0,Operations,Site Supervisor,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,16,10+
E101061,1,Operations,Site Supervisor,Male,Adelaide Branch,55-65,No,Active,Years at Company,5,4-5
E101315,1,Operations,Site Supervisor,Female,Adelaide Branch,45-54,No,Active,Years at Company,5,4-5
E101437,1,Operations,Site Supervisor,Female,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E101602,1,Operations,Site Supervisor,Male,Adelaide Branch,55-65,No,Active,Years at Company,11,10+
E101710,1,Operations,Site Supervisor,Male,Adelaide Branch,35-44,No,Active,Years at Company,4,4-5
E101892,1,Operations,Site Supervisor,Male,Adelaide Branch,45-54,No,Active,Years at Company,15,10+
E102147,0,Operations,Site Supervisor,Female,Adelaide Branch,55-65,No,Terminated,Years at Company,3,2-3
E102269,0,Operations,Site Supervisor,Female,Adelaide Branch,25-34,No,Terminated,Years at Company,4,4-5
E102274,1,Operations,Site Supervisor,Male,Adelaide Branch,45-54,No,Active,Years at Company,8,6-10
E102298,1,Operations,Site Supervisor,Male,Adelaide Branch,35-44,No,Active,Years at Company,14,10+
E102299,1,Operations,Site Supervisor,Male,Adelaide Branch,55-65,No,Active,Years at Company,3,2-3
E102346,1,Operations,Site Supervisor,Female,Adelaide Branch,25-34,No,Active,Years at Company,2,2-3
E102383,1,Operations,Site Supervisor,Male,Adelaide Branch,35-44,No,Active,Years at Company,7,6-10
E102407,1,Operations,Site Supervisor,Male,Adelaide Branch,35-44,No,Active,Years at Company,9,6-10
E102651,0,Operations,Site Supervisor,Female,Adelaide Branch,55-65,No,Terminated,Years at Company,10,6-10
E102786,1,Operations,Site Supervisor,Male,Adelaide Branch,45-54,No,Active,Years at Company,4,4-5
E102845,1,Operations,Site Supervisor,Male,Adelaide Branch,22-24,No,Active,Years at Company,2,2-3
E102892,1,Operations,Site Supervisor,Male,Adelaide Branch,25-34,Yes,Active,Years at Company,4,4-5
E102916,0,Operations,Site Supervisor,Male,Adelaide Branch,35-44,No,Terminated,Years at Company,14,10+
E103056,1,Operations,Site Supervisor,Male,Adelaide Branch,25-34,No,Active,Years at Company,1,0-1
E103274,1,Operations,Site Supervisor,Male,Adelaide Branch,25-34,No,Active,Years at Company,3,2-3
E103479,1,Operations,Site Supervisor,Male,Adelaide Branch,55-65,No,Active,Years at Company,6,6-10
E103616,1,Operations,Site Supervisor,Male,Adelaide Branch,45-54,No,Active,Years at Company,5,4-5
E100104,0,Operations,Operations Manager,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,11,10+
E100381,1,Operations,Operations Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,2,2-3
E100643,0,Operations,Operations Manager,Male,Adelaide Branch,25-34,No,Terminated,Years at Company,8,6-10
E100745,1,Operations,Operations Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,18,10+
E100834,1,Operations,Operations Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,12,10+
E100855,0,Operations,Operations Manager,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,8,6-10
E100943,1,Operations,Operations Manager,Female,Adelaide Branch,35-44,Yes,Active,Years at Company,11,10+
E101448,1,Operations,Operations Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E101534,1,Operations,Operations Manager,Male,Adelaide Branch,25-34,Yes,Active,Years at Company,7,6-10
E101537,1,Operations,Operations Manager,Female,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E101903,1,Operations,Operations Manager,Female,Adelaide Branch,35-44,No,Active,Years at Company,1,0-1
E102049,1,Operations,Operations Manager,Female,Adelaide Branch,35-44,Yes,Active,Years at Company,6,6-10
E102097,1,Operations,Operations Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E102139,1,Operations,Operations Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E102144,1,Operations,Operations Manager,Female,Adelaide Branch,35-44,No,Active,Years at Company,10,6-10
E102281,1,Operations,Operations Manager,Female,Adelaide Branch,25-34,No,Active,Years at Company,10,6-10
E102372,1,Operations,Operations Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,9,6-10
E102390,1,Operations,Operations Manager,Female,Adelaide Branch,25-34,Yes,Active,Years at Company,5,4-5
E102485,0,Operations,Operations Manager,Female,Adelaide Branch,55-65,Yes,Terminated,Years at Company,6,6-10
